gender,age,parental_education_level,family_income,daily_study_hours,attendance_rate,sleep_hours,stress_level,motivation_score,private_tutoring,internet_quality,math_score,reading_score,writing_score,pass_fail
Female,19,2,15000.0,2.7,0.789,7.6,4.0,55,False,2,50,46,46,Fail
Female,18,2,20000.0,3.6,0.874,8.3,4.0,42,True,4,69,66,73,Pass
Female,18,4,50000.0,4.6,0.875,7.4,5.0,62,True,3,88,85,85,Pass
Female,16,5,100000.0,6.1,0.937,9.2,7.0,39,True,5,82,87,90,Pass
Male,19,7,85000.0,6.4,0.861,7.2,7.0,63,False,3,65,83,61,Pass
Male,19,5,45000.0,4.0,0.841,7.0,5.0,53,False,4,54,71,58,Pass
Male,19,2,25000.0,3.0,0.827,8.7,3.0,13,False,2,51,43,36,Fail
Male,17,4,15000.0,3.6,0.838,7.6,3.0,55,True,3,86,78,74,Pass
Male,20,5,75000.0,3.6,0.92,7.1,5.0,66,True,3,86,92,83,Pass
Female,19,5,75000.0,3.5,0.789,6.9,4.0,69,False,4,53,72,57,Pass
Male,16,6,130000.0,5.7,1.0,7.1,6.0,72,False,3,88,100,93,Pass
Male,17,1,15000.0,2.5,0.868,8.4,3.0,62,False,2,70,43,57,Fail
Male,16,5,55000.0,4.6,0.97,9.3,3.0,51,False,3,77,79,92,Pass
Male,18,5,65000.0,3.6,0.899,7.8,4.0,53,False,3,60,49,71,Pass
Female,17,2,60000.0,3.0,0.746,6.9,5.0,10,False,4,28,35,16,Fail
Female,18,4,55000.0,3.3,0.9,8.9,6.0,24,False,3,54,49,34,Fail
Female,20,5,70000.0,3.9,0.969,7.2,7.0,67,False,2,47,57,54,Fail
Female,19,2,35000.0,2.6,0.895,8.5,3.0,53,True,4,84,59,96,Pass
Male,21,4,30000.0,3.8,0.983,8.4,2.0,69,False,2,84,65,71,Pass
Female,18,6,25000.0,5.9,0.779,6.4,8.0,47,False,3,41,63,31,Fail
Male,16,3,35000.0,3.1,0.975,6.7,4.0,45,False,4,54,70,53,Fail
Male,22,2,30000.0,3.0,0.779,7.6,5.0,39,False,3,37,40,34,Fail
Male,17,3,20000.0,3.5,0.862,9.4,3.0,26,False,2,58,45,42,Fail
Female,18,1,20000.0,2.4,0.922,6.9,7.0,61,False,3,55,33,47,Fail
Male,20,1,15000.0,2.3,0.828,6.7,5.0,44,False,3,39,25,35,Fail
Male,18,3,25000.0,3.1,0.857,8.3,5.0,37,True,3,66,80,73,Pass
Female,15,2,35000.0,2.8,0.9,7.4,3.0,50,True,3,83,72,78,Pass
Male,20,2,15000.0,3.1,0.887,5.9,5.0,38,False,3,28,29,28,Fail
Female,20,4,,4.1,0.909,6.3,5.0,45,False,3,62,64,52,Fail
Male,16,5,65000.0,3.5,0.811,7.8,6.0,56,True,4,56,66,64,Pass
Male,20,3,35000.0,3.7,0.87,6.7,4.0,49,False,3,68,77,44,Pass
Male,19,3,40000.0,3.5,0.883,7.2,5.0,67,False,3,52,70,64,Pass
Female,20,2,15000.0,3.4,0.989,7.6,6.0,47,False,2,43,62,62,Fail
Male,17,2,25000.0,4.7,0.881,6.3,7.0,29,True,3,52,39,56,Fail
Male,16,2,30000.0,3.1,0.844,6.7,4.0,50,False,3,60,56,52,Fail
Male,16,5,65000.0,3.6,0.899,6.5,5.0,66,False,3,66,67,52,Pass
Female,21,5,65000.0,3.5,0.883,6.9,4.0,36,False,3,60,62,62,Pass
Female,17,1,30000.0,2.6,0.755,9.1,4.0,48,True,3,73,66,66,Pass
Female,18,5,65000.0,3.8,0.795,8.0,5.0,52,False,2,54,53,43,Fail
Male,18,4,85000.0,5.5,0.887,8.0,4.0,55,True,4,85,87,89,Pass
Female,19,2,20000.0,2.8,0.943,6.9,5.0,58,False,3,50,63,57,Fail
Female,19,5,55000.0,5.0,0.887,8.5,4.0,54,False,4,95,84,87,Pass
Female,18,7,55000.0,4.3,0.827,8.7,5.0,43,True,3,80,80,63,Pass
Male,17,4,40000.0,3.5,0.941,9.2,7.0,46,False,3,73,60,51,Pass
Male,19,4,20000.0,3.3,0.914,7.7,5.0,40,False,2,54,47,51,Fail
Male,19,2,30000.0,7.6,0.906,6.3,9.0,31,True,3,68,56,89,Pass
Female,20,2,25000.0,4.5,0.917,7.1,4.0,28,True,2,63,76,64,Pass
Male,18,2,15000.0,2.7,0.934,8.2,4.0,58,False,4,70,70,49,Pass
Male,19,1,20000.0,2.8,0.864,8.2,5.0,38,False,2,42,28,43,Fail
Male,17,2,20000.0,2.7,0.823,7.8,4.0,64,False,4,56,79,67,Pass
Female,20,3,40000.0,4.1,0.861,6.9,4.0,79,False,3,68,76,73,Pass
Male,20,2,25000.0,3.7,0.916,7.8,7.0,37,False,2,44,12,55,Fail
Female,19,5,35000.0,4.9,1.0,8.1,5.0,63,False,3,84,83,66,Pass
Female,16,5,75000.0,4.0,0.899,7.8,5.0,61,False,3,64,65,54,Pass
Female,22,2,15000.0,3.3,0.804,8.2,3.0,32,False,3,53,54,33,Fail
Male,20,5,45000.0,3.5,0.995,5.9,8.0,56,False,2,43,49,44,Fail
Female,20,2,45000.0,3.0,0.934,7.8,8.0,50,True,4,69,59,55,Pass
Female,18,2,20000.0,4.6,0.797,6.9,5.0,68,True,3,78,74,83,Pass
Female,19,1,15000.0,2.6,0.911,8.2,6.0,43,False,2,50,39,35,Fail
Male,21,3,30000.0,3.2,0.929,8.2,5.0,50,True,3,75,83,94,Pass
Male,18,4,50000.0,4.8,0.877,7.5,5.0,54,False,3,61,60,58,Fail
Male,18,5,40000.0,3.9,0.951,6.8,6.0,61,False,2,66,63,58,Pass
Female,16,4,40000.0,5.4,0.808,5.5,7.0,48,False,3,45,40,36,Fail
Male,20,5,45000.0,3.8,0.981,8.1,5.0,61,False,2,76,72,63,Pass
Male,18,5,75000.0,4.1,0.891,8.9,6.0,43,False,4,62,66,70,Pass
Male,16,2,25000.0,2.7,0.856,8.5,5.0,32,False,4,37,44,58,Fail
Female,19,3,35000.0,2.9,0.884,7.8,6.0,38,False,3,36,42,45,Fail
Male,20,2,60000.0,2.9,0.77,7.7,4.0,45,False,2,54,39,38,Fail
Female,17,5,145000.0,7.4,0.955,8.0,7.0,46,False,5,100,87,78,Pass
Female,20,5,85000.0,5.0,0.922,7.2,8.0,40,True,3,67,70,63,Pass
Male,18,2,25000.0,3.7,0.943,7.9,5.0,38,True,3,73,67,56,Pass
Female,18,3,20000.0,3.2,0.833,8.5,5.0,47,False,2,48,37,39,Fail
Male,20,2,25000.0,4.1,0.816,,5.0,37,False,2,41,31,51,Fail
Female,20,5,75000.0,3.7,1.0,8.7,6.0,41,True,3,73,95,82,Pass
Female,15,1,30000.0,3.6,0.903,8.5,5.0,17,False,2,59,33,31,Fail
Female,18,3,55000.0,3.4,0.818,8.6,5.0,46,False,4,62,52,42,Fail
Male,17,5,105000.0,3.5,0.956,8.4,6.0,54,False,4,60,63,57,Pass
Female,20,6,120000.0,5.3,1.0,6.2,8.0,41,False,3,51,53,46,Fail
Female,17,2,35000.0,3.3,0.976,6.9,2.0,43,True,2,66,92,81,Pass
Female,19,1,20000.0,3.0,0.872,7.7,6.0,28,False,4,49,56,37,Fail
Female,18,6,75000.0,3.7,0.989,8.1,5.0,74,False,4,80,94,84,Pass
Male,17,3,30000.0,3.1,0.852,8.6,5.0,51,False,3,50,64,56,Fail
Male,19,3,40000.0,4.4,0.881,7.7,5.0,56,False,3,72,80,75,Pass
Male,18,2,25000.0,2.6,0.823,9.0,3.0,61,False,5,84,71,75,Pass
Female,16,5,30000.0,3.7,0.934,8.8,6.0,59,True,2,71,87,69,Pass
Male,19,3,55000.0,3.9,0.918,8.2,5.0,32,False,3,53,69,64,Pass
Male,17,2,60000.0,3.7,0.984,7.4,6.0,31,False,3,41,67,53,Fail
Female,20,4,35000.0,4.7,0.985,6.5,6.0,61,True,2,89,74,87,Pass
Female,18,1,15000.0,2.4,0.867,7.8,2.0,80,False,3,62,62,81,Pass
Male,18,5,60000.0,4.2,0.754,8.7,7.0,50,False,3,53,60,57,Fail
Female,16,5,320000.0,3.6,1.0,7.0,5.0,44,True,4,67,79,64,Pass
Male,16,5,25000.0,4.6,0.898,7.7,5.0,55,True,2,82,98,73,Pass
Female,15,5,110000.0,6.2,0.9,7.9,6.0,32,False,3,91,75,70,Pass
Male,19,4,35000.0,4.4,0.896,8.8,5.0,43,False,3,49,61,42,Fail
Female,16,2,90000.0,2.7,0.992,7.3,5.0,35,False,3,41,39,55,Fail
Female,18,5,65000.0,4.8,0.902,7.3,8.0,58,False,3,50,83,81,Pass
Female,18,5,60000.0,4.1,0.964,9.0,4.0,75,False,4,67,91,86,Pass
Male,15,5,60000.0,3.6,0.895,7.9,5.0,52,False,2,74,52,49,Fail
Female,20,5,45000.0,3.6,0.928,6.8,5.0,57,True,2,78,71,77,Pass
Male,18,2,15000.0,2.9,0.863,7.7,6.0,29,False,2,45,30,28,Fail
Male,20,4,65000.0,3.3,0.797,8.2,5.0,38,True,3,71,71,65,Pass
Female,16,2,35000.0,3.8,0.961,7.9,5.0,73,False,2,82,68,57,Pass
Male,19,5,40000.0,5.8,0.952,6.5,7.0,60,False,2,54,75,67,Pass
Female,20,6,60000.0,7.4,0.95,5.6,7.0,59,False,3,69,77,61,Pass
Female,17,4,45000.0,3.7,0.815,7.6,6.0,29,True,3,54,58,51,Fail
Male,18,2,15000.0,2.8,0.946,9.1,3.0,52,False,1,65,70,51,Pass
Female,21,5,65000.0,3.5,0.857,7.3,5.0,60,False,3,53,72,58,Pass
Male,22,5,20000.0,4.5,0.907,8.7,5.0,49,False,3,71,61,56,Pass
Female,20,3,50000.0,3.0,0.867,7.8,6.0,43,True,3,83,69,69,Pass
Male,17,2,25000.0,3.4,0.934,6.5,5.0,52,False,2,53,60,66,Fail
Female,19,2,20000.0,2.7,0.919,10.2,,48,False,2,80,63,65,Pass
Male,16,2,25000.0,2.8,0.814,9.0,6.0,42,True,3,51,55,68,Fail
Male,18,4,120000.0,3.3,0.816,7.7,6.0,63,True,3,71,74,70,Pass
Male,19,6,40000.0,4.0,0.904,7.4,3.0,53,False,3,73,70,63,Pass
Female,19,2,15000.0,3.3,1.0,8.1,3.0,53,False,3,73,72,80,Pass
Female,21,3,40000.0,4.2,0.817,7.3,4.0,59,False,3,83,77,52,Pass
Female,21,5,105000.0,4.5,0.923,7.3,7.0,51,True,2,91,75,70,Pass
Female,16,2,60000.0,2.6,0.884,7.5,1.0,71,False,3,83,64,65,Pass
Female,17,5,60000.0,4.1,0.933,7.9,6.0,44,False,2,60,57,53,Fail
Female,17,6,210000.0,3.9,0.886,8.6,5.0,53,True,5,90,70,72,Pass
Male,16,3,40000.0,4.3,1.0,9.0,5.0,53,False,4,81,78,76,Pass
Female,18,5,125000.0,3.8,0.822,6.8,7.0,29,True,4,62,52,56,Fail
Female,20,1,20000.0,2.7,0.952,8.2,6.0,19,False,2,54,37,42,Fail
Male,17,4,55000.0,3.3,0.895,8.1,5.0,42,False,4,69,44,60,Fail
Male,18,3,30000.0,3.3,0.901,8.1,4.0,39,True,4,80,71,67,Pass
Female,18,1,45000.0,3.0,0.837,8.3,3.0,54,False,4,71,48,57,Fail
Male,19,6,100000.0,5.4,0.908,7.6,6.0,83,False,2,75,89,86,Pass
Female,17,6,85000.0,4.3,0.944,,4.0,72,False,4,89,84,90,Pass
Male,17,3,75000.0,3.1,0.904,7.0,7.0,37,True,3,43,55,71,Fail
Male,22,4,40000.0,5.5,0.969,,4.0,57,False,3,73,84,79,Pass
Female,18,3,50000.0,3.2,0.941,7.3,7.0,50,False,2,43,38,41,Fail
Male,20,3,,2.9,1.0,8.3,6.0,35,True,2,50,55,52,Fail
Male,19,2,15000.0,5.9,1.0,7.8,8.0,38,False,1,59,72,53,Pass
Female,18,3,55000.0,3.1,0.869,6.9,2.0,46,False,3,54,70,45,Fail
Female,17,6,110000.0,5.9,0.934,8.2,6.0,42,False,4,74,95,79,Pass
Male,17,4,20000.0,3.5,0.996,7.4,5.0,48,False,2,61,67,58,Pass
Male,19,3,,3.6,0.903,8.4,7.0,58,True,3,74,67,66,Pass
Female,19,5,80000.0,4.8,0.903,7.3,5.0,64,False,3,90,74,75,Pass
Female,19,5,20000.0,5.2,0.869,6.9,8.0,36,False,2,36,49,41,Fail
Female,17,7,140000.0,4.6,0.987,6.4,6.0,58,False,4,65,69,63,Pass
Male,18,4,30000.0,5.8,0.891,7.8,6.0,69,False,3,85,74,93,Pass
Male,19,3,25000.0,3.7,0.956,5.6,7.0,62,False,3,46,42,49,Fail
Male,17,3,15000.0,3.7,0.887,7.4,6.0,48,True,3,58,67,76,Pass
Male,17,3,,3.4,0.847,6.9,4.0,41,True,3,38,62,66,Fail
Female,17,2,25000.0,3.2,0.896,7.2,6.0,45,False,3,55,46,65,Fail
Male,17,3,75000.0,3.0,0.913,8.1,2.0,63,False,5,85,74,76,Pass
Female,18,2,30000.0,4.2,0.91,6.4,5.0,46,False,3,63,60,76,Pass
Female,20,4,40000.0,3.5,0.837,7.0,7.0,61,False,4,47,46,63,Fail
Female,18,5,20000.0,4.4,0.925,7.4,6.0,57,False,3,43,65,68,Fail
Male,19,1,25000.0,2.8,0.917,6.9,4.0,37,True,3,58,70,51,Fail
Female,17,3,20000.0,3.1,0.9,8.4,7.0,44,True,3,49,60,56,Fail
Female,17,5,80000.0,3.7,0.821,7.8,6.0,59,False,4,55,73,63,Pass
Female,19,4,65000.0,4.3,0.887,6.2,8.0,26,False,3,40,28,41,Fail
Male,20,3,55000.0,3.0,0.922,7.7,6.0,49,False,2,60,49,53,Fail
Male,17,7,80000.0,4.0,0.929,6.9,7.0,67,True,2,80,78,68,Pass
Female,16,3,15000.0,3.3,0.905,10.1,4.0,62,False,2,50,79,83,Pass
Male,19,1,25000.0,3.3,0.886,8.1,7.0,15,True,3,30,40,50,Fail
Male,18,5,55000.0,4.1,0.803,7.1,3.0,72,True,4,73,86,100,Pass
Female,20,3,40000.0,3.1,0.9,7.7,6.0,42,False,3,50,47,30,Fail
Female,17,3,65000.0,4.2,0.885,6.8,5.0,53,True,3,86,72,77,Pass
Female,17,3,30000.0,6.1,0.944,7.6,7.0,37,False,3,65,54,65,Pass
Male,16,5,35000.0,4.0,0.852,6.6,7.0,57,False,3,62,53,39,Fail
Female,17,3,25000.0,3.4,0.888,7.9,6.0,32,False,3,60,41,29,Fail
Male,17,2,20000.0,3.3,0.879,9.1,5.0,56,False,4,64,44,59,Fail
Female,18,4,105000.0,3.2,0.857,7.5,5.0,63,False,2,69,69,45,Pass
Female,17,5,30000.0,3.7,0.869,9.1,5.0,57,False,1,66,72,66,Pass
Male,18,5,65000.0,3.8,0.847,8.4,4.0,49,False,3,72,80,63,Pass
Male,19,2,15000.0,4.3,0.983,7.9,6.0,16,False,2,53,27,38,Fail
Male,19,5,50000.0,5.0,0.992,7.3,7.0,59,False,3,53,74,69,Pass
Female,19,2,35000.0,3.2,0.821,7.5,5.0,50,False,3,56,50,44,Fail
Female,15,2,40000.0,2.7,0.832,7.6,3.0,26,False,4,34,40,58,Fail
Female,17,3,30000.0,3.6,0.823,8.3,7.0,33,False,2,47,34,35,Fail
Female,18,2,30000.0,2.7,0.912,8.5,,37,True,3,65,71,67,Pass
Male,19,2,30000.0,2.9,0.889,,6.0,30,False,2,30,31,38,Fail
Female,16,6,25000.0,5.4,0.907,7.4,8.0,57,True,3,81,76,69,Pass
Male,16,2,20000.0,2.9,0.911,8.3,4.0,46,True,4,75,82,67,Pass
Male,19,3,25000.0,2.9,0.843,6.9,2.0,47,False,3,56,37,56,Fail
Female,18,3,70000.0,3.3,0.877,7.9,6.0,44,True,3,64,82,81,Pass
Female,19,2,15000.0,4.9,0.913,7.2,5.0,21,True,2,75,84,58,Pass
Male,17,2,20000.0,5.0,0.928,6.6,7.0,32,False,3,37,55,45,Fail
Female,18,6,95000.0,4.8,0.897,7.9,6.0,82,False,3,90,80,76,Pass
Female,18,3,25000.0,2.9,0.92,6.8,5.0,43,True,3,52,79,55,Pass
Female,20,2,20000.0,2.8,0.905,8.4,5.0,40,False,3,38,50,57,Fail
Female,18,5,40000.0,4.4,0.938,8.6,7.0,48,True,3,80,89,94,Pass
Male,21,5,65000.0,3.5,1.0,7.5,5.0,66,False,4,80,71,76,Pass
Male,21,5,30000.0,3.6,0.892,7.9,5.0,44,True,2,60,61,73,Pass
Male,19,5,95000.0,3.9,0.89,9.4,4.0,67,True,4,96,100,93,Pass
Female,20,4,35000.0,3.4,0.895,6.8,,59,True,2,57,57,85,Pass
Female,17,5,125000.0,5.3,0.84,7.7,7.0,51,False,5,66,69,71,Pass
Male,22,6,60000.0,4.9,0.896,8.0,5.0,53,True,3,93,99,89,Pass
Male,17,4,65000.0,6.1,1.0,7.2,7.0,39,False,4,83,79,79,Pass
Male,20,6,60000.0,3.9,0.921,,7.0,68,False,2,70,57,72,Pass
Female,21,6,70000.0,5.3,0.913,7.8,5.0,41,False,4,83,80,57,Pass
Female,20,2,40000.0,3.1,0.87,6.4,6.0,31,False,3,18,27,33,Fail
Male,17,3,25000.0,3.2,0.865,7.1,6.0,16,False,2,21,29,40,Fail
Male,17,6,60000.0,4.3,0.913,7.8,5.0,41,True,2,58,77,73,Pass
Female,16,5,85000.0,4.1,1.0,8.7,5.0,48,False,4,75,80,66,Pass
Male,16,4,95000.0,3.4,0.875,6.5,6.0,40,False,4,58,38,43,Fail
Female,16,3,40000.0,2.9,0.981,8.1,4.0,45,True,3,88,79,69,Pass
Male,16,2,60000.0,2.7,0.877,7.2,3.0,71,False,3,74,58,77,Pass
Male,17,5,105000.0,5.0,0.917,8.1,2.0,60,True,3,100,100,100,Pass
Female,19,5,35000.0,5.3,0.838,7.5,7.0,70,True,2,90,88,82,Pass
Male,20,4,50000.0,3.2,0.879,7.7,6.0,66,True,3,83,70,85,Pass
Male,19,2,30000.0,2.8,0.861,9.1,3.0,24,False,1,52,52,65,Fail
Male,18,5,65000.0,4.0,0.98,7.2,6.0,41,False,2,58,38,53,Fail
Male,22,5,105000.0,3.5,0.999,6.2,6.0,54,False,3,59,72,52,Pass
Male,17,2,25000.0,2.7,0.851,10.5,3.0,30,True,1,71,86,73,Pass
Male,19,1,20000.0,2.8,0.965,8.7,4.0,77,False,2,67,68,67,Pass
Male,17,2,65000.0,5.1,0.94,5.8,,39,False,2,28,34,45,Fail
Male,19,3,65000.0,3.3,0.938,6.3,6.0,56,False,3,58,33,67,Fail
Female,17,2,25000.0,3.6,0.898,9.1,6.0,34,True,3,100,75,83,Pass
Female,17,4,45000.0,3.7,0.807,8.7,3.0,43,False,3,58,64,56,Fail
Male,22,6,140000.0,5.1,0.905,5.7,5.0,55,True,4,58,74,66,Pass
Male,15,6,35000.0,3.8,0.883,8.2,5.0,62,False,3,57,68,58,Pass
Female,19,5,35000.0,3.6,0.934,8.5,6.0,32,True,3,67,65,66,Pass
Female,19,4,50000.0,3.3,0.777,7.5,5.0,37,False,3,42,45,42,Fail
Female,18,5,35000.0,3.5,0.728,7.4,3.0,71,True,4,80,79,79,Pass
Male,17,4,,3.8,0.929,8.8,6.0,51,True,1,73,75,69,Pass
Male,19,4,55000.0,3.3,0.942,8.5,3.0,58,True,3,79,94,86,Pass
Male,18,2,35000.0,3.4,0.884,8.2,5.0,21,False,3,44,37,49,Fail
Male,18,5,50000.0,3.9,0.902,8.7,6.0,76,False,3,76,86,67,Pass
Female,17,3,50000.0,3.9,0.793,6.7,4.0,57,True,3,79,73,64,Pass
Male,17,6,80000.0,3.9,0.942,7.2,3.0,70,False,3,68,80,67,Pass
Male,18,2,15000.0,2.7,0.842,7.0,5.0,35,True,2,59,54,58,Fail
Male,21,6,120000.0,4.9,0.898,7.0,8.0,38,True,4,67,58,58,Pass
Female,19,1,35000.0,3.1,0.811,8.9,4.0,46,False,3,64,43,64,Fail
Male,16,5,40000.0,4.9,0.912,7.6,4.0,57,False,3,72,74,69,Pass
Female,18,1,20000.0,5.2,0.994,8.5,6.0,25,False,3,76,58,66,Pass
Male,19,2,15000.0,3.4,0.918,7.6,4.0,31,False,2,57,49,42,Fail
Female,16,4,35000.0,4.8,0.958,8.0,8.0,28,False,3,43,50,51,Fail
Male,21,3,40000.0,3.0,0.952,6.1,7.0,31,False,3,34,40,30,Fail
Female,19,1,25000.0,2.5,0.891,8.5,4.0,26,False,2,31,32,45,Fail
Female,19,3,25000.0,3.1,0.846,7.5,6.0,34,True,3,44,52,68,Fail
Female,19,2,15000.0,3.9,0.757,4.3,8.0,32,True,3,34,41,42,Fail
Female,18,5,85000.0,3.4,0.916,7.6,6.0,63,False,3,44,42,64,Fail
Female,19,4,30000.0,3.3,0.883,6.8,5.0,73,False,2,54,68,46,Fail
Female,16,3,35000.0,2.9,0.881,,4.0,58,False,4,56,54,62,Fail
Female,16,4,35000.0,3.2,0.817,,6.0,60,False,3,63,62,49,Fail
Male,19,3,30000.0,3.3,0.832,7.9,3.0,52,True,3,83,81,91,Pass
Female,17,2,40000.0,2.9,0.887,9.1,9.0,39,False,2,35,47,41,Fail
Female,18,4,35000.0,3.1,0.872,8.9,1.0,51,False,2,75,72,66,Pass
Female,18,3,15000.0,2.9,0.804,9.1,1.0,49,False,3,61,61,80,Pass
Male,17,2,15000.0,2.6,0.799,7.9,7.0,32,False,3,40,22,21,Fail
Male,15,2,20000.0,3.0,0.923,9.3,6.0,21,False,3,30,44,34,Fail
Female,18,5,20000.0,4.2,0.773,7.6,6.0,64,False,3,58,58,46,Fail
Male,19,4,30000.0,3.5,0.855,8.9,4.0,64,False,3,68,70,69,Pass
Male,17,5,60000.0,4.5,0.897,6.4,6.0,47,False,3,61,51,61,Fail
Male,18,6,35000.0,4.5,0.919,6.5,5.0,73,False,3,82,65,65,Pass
Male,20,5,80000.0,3.4,0.856,5.4,5.0,40,True,3,66,52,52,Fail
Male,20,1,35000.0,2.9,0.965,7.4,5.0,45,True,3,64,78,88,Pass
Male,19,3,70000.0,3.1,0.776,8.7,6.0,50,True,3,54,49,55,Fail
Male,17,4,65000.0,4.4,0.963,6.5,6.0,68,False,3,72,63,72,Pass
